question,answer
"Tell me about yourself.","I graduated from the UofT computer engineering department. I am interested in getting a career as a full stack developer. Therefore, I worked on some personal projects about web apps, one of them is server side rendering another one is about Jamstack, and it is a static site, I have learnt react.js and vue.js and javascript during the process. I am currently learning node js and that might help me gain exposure in this field.",
"What are your career goals?","In the short term, I am looking at getting a job in the industry and learning the ropes and ensuring I am able to use the skills. In the long term, I am certainly looking at growth and increasing my knowledge, along the way gaining both career and financial stability.",
"Why do you want this job?","I have been gearing up myself for this kind of job profile for a while now. I have read the job description and find myself suitable for the role, hence I am looking forward to this job.",
"Why should we hire you?","I have been interested in this field for a while now. I have accumulated the skills that are required to help me become a better developer. I have ever been a quality assurance engineer and realize that I am more capable of solving problems as a developer. Some of the skills I have acquired are frontend and backend technology like react.js and node.js. Along with that I am good at creative thinking, logical reasoning and team building. ",
"Why do you want to work for this company?","I am impressed by the work your company has done and the recent developments. It would be an honor to work in a company associated with such a great reputation.",
"What are your strengths?","I am good at this technology and am a quick learner and will quickly grasp the training that will be given to me. I achieved great academy performance with ~3.9 sessional gpa for my 3rd and 4th year study in university. I am an active problem solver; I created my personal page for the purpose of solving my real job hunting challenges.",
"What are your weaknesses?","One of them is that I am a little bit introverted. Sometimes I hesitate to talk or ask for help. When I applied for my postgraduate study, the professors from who I requested for recommendation letters failed to provide the letters on time but I was hesitant to bother them and lost my chances. I used to hate noise environments and lose focus dealing with noise, but I have trained myself to get adapted to it and I got my noise cancelling headphones. Another thing worth mentioning is that I am not a native English speaker and I have a limited vocabulary pool though I am trying to improve over it. ",
"Tell us about your favorite subjects.","Algorithms, Artificial intelligence. I like to solve challenging questions.",
"How long do you want to work here?","I would love to work for as long as the company finds me relevant to the role, and I also find growth in the company, both in terms of climbing the career ladder and financial growth.",
"Do you have any questions for me?","What are the day to day responsibilities of the job role? What is expected of me in the first month, six months and a year? In your opinion, how can I become successful in this role?",
